ID	Problem
610	Ancient manuscripts
611	Number systems
614	Buying fruits
615	Lazer (RU)
616	Radars (RU)
617	Lotto (RU)
619	Beads (RU)
621	Palindrom2 (RU)
622	Ones
624	DVD (RU)
626	Hard Test
627	Unloved digits
628	Dominoes
629	Ships
631	Mondriaan`s Dream
632	Balanced Food
633	Tic-tac-toe (RU)
638	Indivisibility of binomial coefficients
640	Minimaximal matching
641	Number of quadratic residues
642	Two snails
643	Triangular Room
645	Get equal
646	Jumps on strip
647	Product of coprimes
648	Divisibility of binomial coefficients
650	Sum of two squares
651	Shehrzad
653	The triangle
655	The segments
658	Game strike out
659	Tree Games
660	Intelligent game Prostokvashino (RU)
661	Details (RU)
663	Game (RU)
665	Wallpapering (RU)
666	Triangle and point
667	Circle and triangle (RU)
668	Buses and airplanes
673	Kingdom
674	Weather conditions
675	Shifted match
676	Vectors
677	Chocolate bars
678	Employees
679	Robot
680	Hall Round Table
681	Fibonacci Numbers
682	Sum on a segment
683	Partial matrix sum
684	Sum in a matrix
685	Sum on parallelepiped
686	Next
688	To the beginning of the row!
689	Swaper
691	Sparse Tables
693	Minimum in the Stack
694	Minimum in the Queue
695	Range Variation Query
696	Automatic Cash Terminal
697	Box
698	Weird sort
699	Bowling
700	Exam
701	Platforms
702	The Very Greatest Common Divisor
703	Hamster 2
704	Factorials
705	Zero
706	Most range circle (RU)
707	Puddles (RU)
708	Do not smoke! (RU)
709	Length of association (RU)
710	External boxes (RU)
711	Quadrilateral (RU)
712	Radio Transmitters (RU)
713	Parking (RU)
714	Intersection of segments (RU)
715	Down the rabbit hole (RU)
716	White Rabbit (RU)
717	Blue caterpillar gives advice (RU)
718	Mad Tea Party (RU)
719	Mad Tea Party II
720	Duchess (RU)
721	Royal Croquet (RU)
722	Royal Croquet 2
723	Marine quadrille (RU)
724	Who stole the pretzels? (RU)
725	AntiGrey
726	Again A+B
727	Area
728	Desert
729	More all
730	What prefix?
731	From the prefix to infix
732	Equivalence
733	Ternary logic
734	Contact
735	Power
736	Bob (RU)
737	Jumping (RU)
738	Short track (RU)
739	Freestyle (RU)
740	Curling (RU)
741	Ski Race (RU)
742	Nordic Combined (RU)
743	Snowboarding (RU)
744	Figure skating (RU)
745	Alpine Skiing (RU)
746	Hockey (RU)
747	Biathlon (RU)
748	Skating
750	Home by trains
751	Treasure
752	Ahoy, Pirates!
753	Power
754	Playing with chips
756	Villages
757	Mirrors
758	Cry
759	Robot
761	Boa
762	Determinant
764	House
765	Bike
769	Rectangle
770	Peg Game
771	Fibonacci Sequence
772	 Bard
773	Numbers
774	Cake
775	Preparation
776	Roads
777	Game
778	Line
779	Message in the Enemy Territory
780	Rational Billiard
781	Best Coalitions
782	Informants
783	Look-and-Say sequences
784	Burger Time?
785	Triangular Grid
786	GrayInc
787	Langton`s Ant
788	Chinese Ink
789	John
790	Double Queue
791	`JBC`
792	Loan Scheduling
793	Showstopper
794	Highway
796	The Stable Marriage Problem
797	Arne Saknussemm
798	Platforms
799	Buying tickets
805	Normal MaxSum
806	Platforms - 3
809	Squares and Rounds
822	Unpack the string
830	Prime numbers
831	Expression
832	Increasing subsequence
833	The triangle and the point
834	Power
835	Poker
836	Prime numbers 2
837	Permutations
838	Route
839	Segments intersection
840	Long sum
841	Spiral
842	The prime factors
843	Permutation (2)
844	Moneybox
845	The card and envelope
846	Long product
847	Snake
848	Perfect numbers
849	Decomposition into terms
850	Gangsters
851	The area of a polygon
852	Long division on a short number
853	Sereja and Array
855	Brackets (2)
856	Route 2
857	Convex hull
858	Birthday
861	Matrix Summation
862	Message
863	Line and squares
864	SMS
866	Computer Dialogue
867	Throwing dice
868	Watershed
869	Anti-QuickSort
871	The boundary of the polygon
873	Palindromes
874	Circular area
875	Homer Simpson
876	Garland
878	Point in polygon
879	Plumbing
880	Center of gravity
890	The Hunting
901	Number of operations
903	First or last?
904	Increase by 2
905	What type of triangle?
906	Product of digits
908	Those that are divisible by 6
910	The arithmetic mean of positive
911	Quadratic equation
912	Number of sentences
914	Maximum of absolute values
915	Rectangular or not?
916	Interesting Product
917	Twice the minimum
920	Use the function
921	Negative elements
922	Shift the elements to the right
923	Season
925	Perimeter and area of triangle
926	Heron
927	Number of toys
928	The sum of the largest and the smallest
929	Parallelogram
930	Mobile Phone
931	The ratio of product to the sum
932	The height of triangle
933	The sum of digits of a two-digit number
934	The heights of the triangle
935	Decomposition of three digit number
936	Cramer's Formula
937	Product of Array Except Self
938	The point on the interval
939	The square of sum
940	Majority Element
941	Difference
942	Diagonals
943	Digits permutation in 3-digit integer
944	The area of a pyramid
946	The area of quadrilateral
948	Area and volume of the pyramid
949	Two digits from four digits
950	Four Square
952	The surface area of the pyramid
953	Remainder
954	The surface area of the pyramid 2
955	The square of sum
956	The surface area of the pyramid 3
957	Square root
958	Surface area of pyramid 4
